0.906548,0,{"text":"外皮糊层奶油谁不会","style":{"color":"#54eed8","border":false,"mode":0},"time":0}
1.169517,0,{"text":"我觉得苦甜才是高级的甜味","style":{"color":"#58c1de","border":false,"mode":0},"time":0}
2.488067,0,{"text":"《精美》","style":{"color":"#ffffff","border":false,"mode":0},"time":0}
2.495381,0,{"text":"哈哈哈哈","style":{"color":"#58c1de","border":false,"mode":0},"time":0}
3.778851,0,{"text":"这蛋糕真不行吧","style":{"color":"#455ff6","border":false,"mode":0},"time":0}
3.784946,0,{"text":"麦芽巧克力蛋糕真的很难","style":{"color":"#58c1de","border":false,"mode":0},"time":0}
4.764952,0,{"text":"一坨","style":{"color":"#58c1de","border":false,"mode":0},"time":0}
6.382001,0,{"text":"这蛋糕配抹茶 不会腻","style":{"color":"#58c1de","border":false,"mode":0},"time":0}
6.385787,0,{"text":"为什么要配主菜，喷的莫名其妙","style":{"color":"#ffed4f","border":false,"mode":0},"time":0}
8.684833,0,{"text":"棉花糖烤焦了","style":{"color":"#54eed8","border":false,"mode":0},"time":0}
8.695949,0,{"text":"不是啊 你们看蛋糕和夹心都不塌很厉害的","style":{"color":"#e33fff","border":false,"mode":0},"time":0}
8.982743,0,{"text":"很难欣赏","style":{"color":"#58c1de","border":false,"mode":0},"time":0}
9.976656,0,{"text":"一层出问题整个都出问题，外面还要淋糖浆","style":{"color":"#58c1de","border":false,"mode":0},"time":0}
11.572514,0,{"text":"不得不承认。她做的甜品都挺丑的。。","style":{"color":"#ffffff","border":false,"mode":0},"time":0}
12.558437,0,{"text":"[青春烟火静态表情包_比心心]","style":{"color":"#e33fff","border":false,"mode":0},"time":0}
12.566395,0,{"text":"不一定，甜的发齁估计","style":{"color":"#58c1de","border":false,"mode":0},"time":0}
12.876798,0,{"text":"[哈哈room_6154037_73546]","style":{"color":"#58c1de","border":false,"mode":0},"time":0}
12.884833,0,{"text":"巧克力的问题","style":{"color":"#58c1de","border":false,"mode":0},"time":0}
14.168164,0,{"text":"蛋糕店的那些基本很少全部纯手工","style":{"color":"#58c1de","border":false,"mode":0},"time":0}
